model,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,mae,rmse
Naive-Persistence,0.5200764818355641,0.5159958720330238,0.5160071995515034,0.5159958720330238,0.5159996313024242,,,
Logistic-Cls,0.5296367112810707,0.5081379920389208,0.5104879160966712,0.5081379920389208,0.48808728036669213,0.47865251363703376,,
Linear-Reg,,,,,,,0.012346820537973265,0.018165122479858624
