model,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,mae,rmse
LSTM-Cls,0.5363984674329502,0.4922940262047524,0.40740081835972247,0.4922940262047524,0.3600867239422921,0.47566807313642756,,
LSTM-Reg,,,,,,,0.014323415234684944,0.019336803915379463
