Date,AAPL_log_ret,SPY_log_ret,VIX_level,VIX_change,sma_5,sma_10,sma_20,ema_12,ema_26,macd,macd_signal,adx_14,rsi_14,stoch_k,stoch_d,roc_10,rollstd_10,rollstd_20,atr_14,bb_percentb,high_low_spread,volume_change,next_log_ret,next_ret_up
2023-01-27,0.013591524534393584,,,,141.0882110595703,137.50475006103517,132.52251434326172,137.35380711341185,135.40138496916447,1.9524221442473788,0.11794176161224035,19.778216427396778,67.93157667056137,93.19726544579463,94.61099878166017,9.384605998492617,0.00966191178497259,0.015903146407090434,3.7210141336170772,0.9723661891554073,0.02843825193429976,0.3040508196085028,-0.02028242005962228,0
2023-01-30,-0.02028242005962228,,,,141.46095275878906,138.31729125976562,133.18270263671874,137.91649701964175,135.81693360136757,2.0995634182741867,0.5142660929446297,20.78734075612868,60.55104589145159,77.86498835998826,89.85478475602362,6.114578928071565,0.01331837837560582,0.016242378758279555,3.672167383536402,0.8161712131418564,0.01888109754015522,-0.09269967883575836,0.008980563317073977,1
2023-01-31,0.008980563317073977,,,,141.8080596923828,139.14067840576172,133.89071731567384,138.58832143398774,136.29592783185075,2.292393602136997,0.8698915947831032,21.498476523838285,62.48365812328433,82.46869349817027,84.51031576798441,6.142411890541074,0.01332465284692588,0.016253578962429283,3.554966086181286,0.8289727794589281,0.014276787403466763,0.029043056894211272,0.007869598086729561,1
2023-02-01,0.007869598086729561,,,,142.51212463378906,140.1484619140625,134.89455947875976,139.329731361361,136.82270991555913,2.5070214458018825,1.197317564986859,22.613832403729702,64.15487059266853,88.60029597138222,82.97799260984694,7.5585850683437155,0.012706447455708605,0.012757844278702777,3.673641717173421,0.8424500798573721,0.036374843928695236,0.17896302818237708,0.036392047845038834,1
2023-02-02,0.036392047845038834,,,,143.8650360107422,141.68183135986328,136.10054969787598,140.77477325378385,137.7041761190073,3.0705971347765626,1.5719734789447997,24.396353643683767,70.7821117018359,98.15580826845007,89.74159924600087,11.495487926985945,0.015461399926747459,0.01435435450087627,3.816238495701031,0.9902237307045455,0.019957527918463284,0.5237382763611267,0.024107181187318208,1
2023-02-03,0.024107181187318208,,,,145.5551971435547,143.3217041015625,137.55404968261718,142.55578488811759,138.78915187885514,3.766633009262449,2.01090538500833,26.783496046871868,74.27869607304125,87.80174711057316,91.51928378346851,12.062089896384776,0.01584754412934586,0.013969146297428866,4.216306456463173,1.0557525131061034,0.06181231748710566,0.3043654247543075,-0.01809125728837752,0
2023-02-06,-0.01809125728837752,,,,147.27691955566405,144.36893615722656,138.6441764831543,143.64257237678459,139.59142978149202,4.051142595292561,2.4189528270651763,29.000128278403675,67.7103090741536,76.06955681879013,87.34237073260446,7.526052792489146,0.017689082581613422,0.01395535550313146,4.177158192352756,0.9060799099952193,0.015290367030555939,-0.5474247087763261,0.01906179142006876,1
2023-02-07,0.01906179142006876,,,,149.32010498046876,145.56408233642577,139.85214080810547,145.00514321680453,140.54756704485663,4.457576171947892,2.82667749604172,31.276109739235796,70.65610877206426,88.43715773400248,84.10282055445528,8.503484225609064,0.018075424781291666,0.014142160777346164,4.202087139251528,0.9540578025745978,0.029679899896814185,0.19273729821653252,-0.017810419033056288,0
2023-02-08,-0.017810419033056288,,,,150.60005798339844,146.55609130859375,140.89690704345702,145.74392902599806,141.23346955831633,4.510459467681727,3.1634338903697214,33.38952109572277,64.7119573231126,76.42494629574108,80.31055361617793,7.091494053271042,0.01952008089936243,0.015311656993318537,4.14705246010467,0.8271330681011058,0.022446048599324097,-0.23045968320719712,-0.006935545961443968,0
2023-02-09,-0.006935545961443968,,,,150.60992736816405,147.23748168945312,141.7538215637207,146.20976311214258,141.79186815295492,4.417894959187663,3.41432610413331,35.02269790532192,62.53293453445368,66.58117160920479,77.14775854631614,4.799945310058005,0.0197674626382713,0.015297117558270134,4.126236381351968,0.7631770028267711,0.02591637693812014,-0.12652818694917822,0.0024531133876700157,1
